episode,reward,length,result
1,5.461180339887498,6,win
2,4.629592529735746,6,win
3,4.9,9,win
4,4.75,6,win
5,4.75,7,win
6,4.75,8,win
7,4.7,6,win
8,4.725,6,win
9,4.725,6,win
10,1.167472411522924,10,loss
11,4.75,9,win
12,4.75,7,win
13,4.875,10,win
14,4.75,6,win
15,4.625,6,win
16,4.775,7,win
17,4.755,9,win
18,4.7,8,win
19,4.675000000000001,7,win
20,4.775,8,win
21,4.632472411522924,9,win
22,4.63,9,win
23,4.6000000000000005,7,win
24,4.705,8,win
25,4.925000000000001,9,win
26,4.78,10,win
27,1.2874724115229244,10,win
28,4.675000000000001,6,win
29,4.8,8,win
30,4.775,7,win
31,4.705,9,win
32,4.775,7,win
33,4.875,9,win
34,4.800000000000001,9,win
35,4.755,9,win
36,4.875,9,win
37,4.73,8,win
38,4.775,9,win
39,4.725,8,win
40,4.8,8,win
41,4.925000000000001,9,win
42,4.655,7,win
43,4.9,10,win
44,4.777472411522924,9,win
45,4.65,7,win
46,4.805,10,win
47,4.800000000000001,7,win
48,4.8500000000000005,9,win
49,4.95,9,win
50,4.755,9,win
51,4.83,9,win
52,4.637472411522925,10,win
53,4.880000000000001,10,win
54,4.65,7,win
55,0.7300000000000001,10,win
56,4.875,8,win
57,4.680000000000001,8,win
58,4.800000000000001,8,win
59,4.7,7,win
60,1.37,10,win
61,4.65,8,win
62,4.75,6,win
63,1.2750000000000001,10,win
64,1.2974724115229241,10,win
65,4.855,8,win
66,4.800000000000001,7,win
67,4.824999999999999,9,win
68,0.7874724115229242,10,win
69,4.725,7,win
70,4.6000000000000005,6,win
71,4.65,7,win
72,4.602472411522924,6,win
73,4.75,7,win
74,4.66,8,win
75,4.775,7,win
76,4.7250000000000005,7,win
77,4.725,7,win
78,4.75,6,win
79,4.755000000000001,10,win
80,4.755,9,win
81,4.83,8,win
82,4.975,9,win
83,4.7,6,win
84,4.725,6,win
85,4.625,5,win
86,1.4749999999999999,10,loss
87,4.702472411522924,8,win
88,1.2349999999999999,10,win
89,4.625,6,win
90,4.9,9,win
91,4.675,6,win
92,4.779999999999999,9,win
93,4.68,8,win
94,4.7,7,win
95,4.6,5,win
96,4.7250000000000005,8,win
97,4.73,8,win
98,4.775,7,win
99,4.68,8,win
100,4.75,7,win
