episode,ep_reward,ep_len,turn,model_vp,player_vp,vp_diff,result,end_reason,end_code
1,-0.135,10,11,0,0,0,draw,turn_limit_Only War,4
2,-0.10500000000000001,10,11,0,1,-1,loss,turn_limit_Only War,4
3,-0.10500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
4,0.08499999999999999,10,11,2,0,2,win,turn_limit_Only War,4
5,-0.05500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
6,-0.10500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
7,-0.035,10,11,1,0,1,win,turn_limit_Only War,4
8,-0.14500000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
9,-0.06000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
10,-0.02,10,11,0,0,0,draw,turn_limit_Only War,4
11,-0.15,10,11,0,1,-1,loss,turn_limit_Only War,4
12,-0.095,10,11,0,0,0,draw,turn_limit_Only War,4
13,-0.19,10,11,0,2,-2,loss,turn_limit_Only War,4
14,-0.14,10,11,0,0,0,draw,turn_limit_Only War,4
15,-0.030000000000000006,10,11,0,0,0,draw,turn_limit_Only War,4
16,0.0049999999999999975,10,11,1,0,1,win,turn_limit_Only War,4
17,-0.1,10,11,0,0,0,draw,turn_limit_Only War,4
18,-0.075,10,11,0,2,-2,loss,turn_limit_Only War,4
19,-0.085,10,11,0,2,-2,loss,turn_limit_Only War,4
20,-0.135,10,11,0,0,0,draw,turn_limit_Only War,4
21,0.0235,10,11,0,0,0,draw,turn_limit_Only War,4
22,-0.165,10,11,0,0,0,draw,turn_limit_Only War,4
23,-0.175,10,11,0,0,0,draw,turn_limit_Only War,4
24,-0.14500000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
25,-0.0055000000000000005,10,11,0,0,0,draw,turn_limit_Only War,4
26,-0.14500000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
27,-0.267,10,11,0,0,0,draw,turn_limit_Only War,4
28,-0.052000000000000005,10,11,0,0,0,draw,turn_limit_Only War,4
29,-0.035,10,11,0,0,0,draw,turn_limit_Only War,4
30,-0.17,10,11,0,0,0,draw,turn_limit_Only War,4
31,-0.15,10,11,0,0,0,draw,turn_limit_Only War,4
32,-0.14,10,11,0,0,0,draw,turn_limit_Only War,4
33,-0.06000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
34,-0.06000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
35,-0.2265,10,11,0,2,-2,loss,turn_limit_Only War,4
36,-2.7755575615628915e-18,10,11,1,0,1,win,turn_limit_Only War,4
37,-0.095,10,11,0,0,0,draw,turn_limit_Only War,4
38,-0.095,10,11,0,0,0,draw,turn_limit_Only War,4
39,0.0049999999999999975,10,11,1,0,1,win,turn_limit_Only War,4
40,-0.09,10,11,0,0,0,draw,turn_limit_Only War,4
41,-0.045000000000000005,10,11,1,0,1,win,turn_limit_Only War,4
42,-0.075,10,11,0,2,-2,loss,turn_limit_Only War,4
43,-0.075,10,11,0,0,0,draw,turn_limit_Only War,4
44,-0.1,10,11,0,0,0,draw,turn_limit_Only War,4
45,-0.035,10,11,0,0,0,draw,turn_limit_Only War,4
46,-0.14500000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
47,-0.02,10,11,0,0,0,draw,turn_limit_Only War,4
48,-0.18,10,11,0,0,0,draw,turn_limit_Only War,4
49,-0.10500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
50,-0.11500000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
51,-0.08,10,11,1,0,1,win,turn_limit_Only War,4
52,-0.14500000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
53,-0.1,10,11,0,0,0,draw,turn_limit_Only War,4
54,-0.185,10,11,0,0,0,draw,turn_limit_Only War,4
55,0.002999999999999993,10,11,0,0,0,draw,turn_limit_Only War,4
56,-0.10500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
57,-0.11000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
58,-0.14,10,11,0,0,0,draw,turn_limit_Only War,4
59,-0.075,10,11,0,0,0,draw,turn_limit_Only War,4
60,-0.10500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
61,-0.09,10,11,0,0,0,draw,turn_limit_Only War,4
62,-0.095,10,11,0,0,0,draw,turn_limit_Only War,4
63,-0.06000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
64,-0.1,10,11,0,0,0,draw,turn_limit_Only War,4
65,-0.13,10,11,0,0,0,draw,turn_limit_Only War,4
66,-0.1105,10,11,0,0,0,draw,turn_limit_Only War,4
67,-0.05600000000000001,10,11,0,1,-1,loss,turn_limit_Only War,4
68,-0.06,10,11,0,0,0,draw,turn_limit_Only War,4
69,-0.14500000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
70,-0.09,10,11,0,0,0,draw,turn_limit_Only War,4
71,-0.11500000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
72,-0.1,10,11,0,0,0,draw,turn_limit_Only War,4
73,0.04,10,11,1,0,1,win,turn_limit_Only War,4
74,-0.134,10,11,0,0,0,draw,turn_limit_Only War,4
75,-0.10500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
76,-0.10500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
77,-0.1,10,11,0,0,0,draw,turn_limit_Only War,4
78,-0.085,10,11,0,0,0,draw,turn_limit_Only War,4
79,-0.02,10,11,0,0,0,draw,turn_limit_Only War,4
80,-0.05700000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
81,-0.030000000000000006,10,11,0,0,0,draw,turn_limit_Only War,4
82,-0.14,10,11,0,0,0,draw,turn_limit_Only War,4
83,-0.04,10,11,0,2,-2,loss,turn_limit_Only War,4
84,-0.06000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
85,-0.05500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
86,-0.04,10,11,0,0,0,draw,turn_limit_Only War,4
87,-0.095,10,11,0,0,0,draw,turn_limit_Only War,4
88,-0.10500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
89,-0.035,10,11,0,0,0,draw,turn_limit_Only War,4
90,-0.025,10,11,0,0,0,draw,turn_limit_Only War,4
91,-0.065,10,11,0,0,0,draw,turn_limit_Only War,4
92,-0.005000000000000003,10,11,0,0,0,draw,turn_limit_Only War,4
93,-0.065,10,11,0,0,0,draw,turn_limit_Only War,4
94,-0.08,10,11,0,0,0,draw,turn_limit_Only War,4
95,-0.07,10,11,0,0,0,draw,turn_limit_Only War,4
96,-0.13,10,11,0,0,0,draw,turn_limit_Only War,4
97,-0.025,10,11,0,0,0,draw,turn_limit_Only War,4
98,-0.025,10,11,0,0,0,draw,turn_limit_Only War,4
99,-0.07,10,11,0,0,0,draw,turn_limit_Only War,4
100,-0.14500000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
101,-0.030000000000000006,10,11,0,0,0,draw,turn_limit_Only War,4
102,-0.075,10,11,0,0,0,draw,turn_limit_Only War,4
103,-0.07,10,11,0,0,0,draw,turn_limit_Only War,4
104,-0.318,10,11,0,2,-2,loss,turn_limit_Only War,4
105,-0.14,10,11,0,0,0,draw,turn_limit_Only War,4
106,-0.255,10,11,0,0,0,draw,turn_limit_Only War,4
107,-0.14,10,11,0,0,0,draw,turn_limit_Only War,4
108,0.014000000000000007,10,11,1,1,0,draw,turn_limit_Only War,4
109,-0.1,10,11,0,0,0,draw,turn_limit_Only War,4
110,-0.20250000000000004,10,11,0,1,-1,loss,turn_limit_Only War,4
111,-0.125,10,11,0,0,0,draw,turn_limit_Only War,4
112,-0.14500000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
113,-0.18,10,11,0,0,0,draw,turn_limit_Only War,4
114,-0.06000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
115,-0.099436506316151,10,11,0,0,0,draw,turn_limit_Only War,4
116,-0.06000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
117,-0.095,10,11,0,0,0,draw,turn_limit_Only War,4
118,-0.095,10,11,0,0,0,draw,turn_limit_Only War,4
119,-0.18,10,11,0,0,0,draw,turn_limit_Only War,4
120,-0.14500000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
121,-0.10500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
122,-0.065,10,11,0,0,0,draw,turn_limit_Only War,4
123,-0.14650000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
124,-0.10500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
125,-0.11000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
126,-0.09,10,11,0,0,0,draw,turn_limit_Only War,4
127,-0.07,10,11,0,0,0,draw,turn_limit_Only War,4
128,-0.06699999999999999,10,11,0,0,0,draw,turn_limit_Only War,4
129,-0.14,10,11,0,0,0,draw,turn_limit_Only War,4
130,-0.095,10,11,0,0,0,draw,turn_limit_Only War,4
131,-0.075,10,11,0,1,-1,loss,turn_limit_Only War,4
132,-0.185,10,11,0,1,-1,loss,turn_limit_Only War,4
133,-0.030000000000000006,10,11,0,0,0,draw,turn_limit_Only War,4
134,-0.04,10,11,0,0,0,draw,turn_limit_Only War,4
135,-0.26,10,11,0,0,0,draw,turn_limit_Only War,4
136,-0.06000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
137,-0.085,10,11,0,0,0,draw,turn_limit_Only War,4
138,-0.1,10,11,0,0,0,draw,turn_limit_Only War,4
139,-0.15,10,11,0,0,0,draw,turn_limit_Only War,4
140,-0.15,10,11,0,0,0,draw,turn_limit_Only War,4
141,0.059,10,11,0,4,-4,loss,turn_limit_Only War,4
142,-0.135,10,11,0,0,0,draw,turn_limit_Only War,4
143,-0.05500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
144,-0.18,10,11,0,0,0,draw,turn_limit_Only War,4
145,-0.10500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
146,-0.10500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
147,-0.075,10,11,0,0,0,draw,turn_limit_Only War,4
148,-0.14,10,11,0,0,0,draw,turn_limit_Only War,4
149,-0.1,10,11,0,0,0,draw,turn_limit_Only War,4
150,0.095,10,11,2,0,2,win,turn_limit_Only War,4
151,-0.18650000000000003,10,11,0,0,0,draw,turn_limit_Only War,4
152,-0.17,10,11,0,0,0,draw,turn_limit_Only War,4
153,-0.14,10,11,0,0,0,draw,turn_limit_Only War,4
154,-0.02,10,11,0,0,0,draw,turn_limit_Only War,4
155,-0.01,10,11,0,0,0,draw,turn_limit_Only War,4
156,-0.14500000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
157,-0.14,10,11,0,0,0,draw,turn_limit_Only War,4
158,-0.065,10,11,0,0,0,draw,turn_limit_Only War,4
159,-0.10500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
160,-0.148,10,11,0,0,0,draw,turn_limit_Only War,4
161,-0.06000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
162,-0.030000000000000006,10,11,0,0,0,draw,turn_limit_Only War,4
163,-0.1,10,11,0,0,0,draw,turn_limit_Only War,4
164,0.12150000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
165,-0.035,10,11,0,0,0,draw,turn_limit_Only War,4
166,-0.11000000000000001,10,11,0,1,-1,loss,turn_limit_Only War,4
167,-0.11000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
168,-0.10500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
169,-0.13,10,11,0,0,0,draw,turn_limit_Only War,4
170,-0.10500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
171,-0.07,10,11,0,0,0,draw,turn_limit_Only War,4
172,-0.065,10,11,0,1,-1,loss,turn_limit_Only War,4
173,-0.219,10,11,0,0,0,draw,turn_limit_Only War,4
174,-0.025,10,11,0,0,0,draw,turn_limit_Only War,4
175,-0.065,10,11,0,0,0,draw,turn_limit_Only War,4
176,-0.075,10,11,0,0,0,draw,turn_limit_Only War,4
177,-0.04,10,11,1,0,1,win,turn_limit_Only War,4
178,-0.045000000000000005,10,11,0,0,0,draw,turn_limit_Only War,4
179,-0.065,10,11,0,0,0,draw,turn_limit_Only War,4
180,-0.05500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
181,-0.06000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
182,-0.030000000000000006,10,11,0,0,0,draw,turn_limit_Only War,4
183,-0.015000000000000003,10,11,0,0,0,draw,turn_limit_Only War,4
184,-0.175,10,11,0,0,0,draw,turn_limit_Only War,4
185,-0.11000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
186,-0.025,10,11,0,0,0,draw,turn_limit_Only War,4
187,-0.1,10,11,0,0,0,draw,turn_limit_Only War,4
188,-0.1,10,11,0,0,0,draw,turn_limit_Only War,4
189,-0.025,10,11,0,0,0,draw,turn_limit_Only War,4
190,-0.05700000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
191,-0.15,10,11,0,0,0,draw,turn_limit_Only War,4
192,-0.3525,10,11,0,4,-4,loss,turn_limit_Only War,4
193,-0.1,10,11,0,0,0,draw,turn_limit_Only War,4
194,-0.025,10,11,0,0,0,draw,turn_limit_Only War,4
195,-0.14950000000000002,10,11,0,2,-2,loss,turn_limit_Only War,4
196,0.12,10,11,2,0,2,win,turn_limit_Only War,4
197,-0.13,10,11,0,0,0,draw,turn_limit_Only War,4
198,-0.025,10,11,0,0,0,draw,turn_limit_Only War,4
199,-0.135,10,11,0,0,0,draw,turn_limit_Only War,4
200,-0.163,10,11,0,0,0,draw,turn_limit_Only War,4
201,0.04,10,11,1,0,1,win,turn_limit_Only War,4
202,-0.065,10,11,0,0,0,draw,turn_limit_Only War,4
203,-0.065,10,11,0,0,0,draw,turn_limit_Only War,4
204,-0.10500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
205,-0.06000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
206,-0.175,10,11,0,1,-1,loss,turn_limit_Only War,4
207,-0.075,10,11,0,0,0,draw,turn_limit_Only War,4
208,0.315,10,11,4,0,4,win,turn_limit_Only War,4
209,-0.18000000000000002,10,11,0,1,-1,loss,turn_limit_Only War,4
210,-0.11500000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
211,-0.11000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
212,0.0010000000000000037,10,11,0,1,-1,loss,turn_limit_Only War,4
213,-0.07,10,11,0,0,0,draw,turn_limit_Only War,4
214,-0.075,10,11,0,0,0,draw,turn_limit_Only War,4
215,-0.14500000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
216,-0.065,10,11,0,0,0,draw,turn_limit_Only War,4
217,-0.025,10,11,0,0,0,draw,turn_limit_Only War,4
218,-0.18,10,11,0,1,-1,loss,turn_limit_Only War,4
219,-0.1,10,11,0,0,0,draw,turn_limit_Only War,4
220,-0.14,10,11,0,0,0,draw,turn_limit_Only War,4
221,-0.1,10,11,0,0,0,draw,turn_limit_Only War,4
222,0.034999999999999996,10,11,1,0,1,win,turn_limit_Only War,4
223,0.03300326828802405,10,11,2,0,2,win,turn_limit_Only War,4
224,-0.11000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
225,-0.065,10,11,0,0,0,draw,turn_limit_Only War,4
226,-0.06000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
227,-0.14500000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
228,-0.030000000000000006,10,11,0,0,0,draw,turn_limit_Only War,4
229,0.255,10,11,3,0,3,win,turn_limit_Only War,4
230,-0.075,10,11,0,0,0,draw,turn_limit_Only War,4
231,0.0875,10,11,2,0,2,win,turn_limit_Only War,4
232,-0.05500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
233,-0.11000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
234,-0.05500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
235,-0.13,10,11,0,0,0,draw,turn_limit_Only War,4
236,-0.17,10,11,0,0,0,draw,turn_limit_Only War,4
237,-0.06000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
238,-0.10800000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
239,0.009500000000000001,10,11,0,1,-1,loss,turn_limit_Only War,4
240,-0.14500000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
241,-0.1,10,11,0,0,0,draw,turn_limit_Only War,4
242,-0.065,10,11,0,0,0,draw,turn_limit_Only War,4
243,-0.1,10,11,0,0,0,draw,turn_limit_Only War,4
244,-0.075,10,11,0,1,-1,loss,turn_limit_Only War,4
245,-0.06000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
246,-0.15,10,11,0,0,0,draw,turn_limit_Only War,4
247,-0.175,10,11,0,0,0,draw,turn_limit_Only War,4
248,-0.135,10,11,0,0,0,draw,turn_limit_Only War,4
249,-0.06000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
250,-0.065,10,11,0,0,0,draw,turn_limit_Only War,4
251,-0.08,10,11,0,1,-1,loss,turn_limit_Only War,4
252,-0.065,10,11,0,0,0,draw,turn_limit_Only War,4
253,0.07999999999999999,10,11,2,0,2,win,turn_limit_Only War,4
254,0.008999999999999996,10,11,0,0,0,draw,turn_limit_Only War,4
255,-0.075,10,11,0,2,-2,loss,turn_limit_Only War,4
256,-0.07,10,11,0,0,0,draw,turn_limit_Only War,4
257,-0.08,10,11,0,2,-2,loss,turn_limit_Only War,4
258,-0.095,10,11,0,1,-1,loss,turn_limit_Only War,4
259,-0.1,10,11,0,0,0,draw,turn_limit_Only War,4
260,0.325,10,11,3,0,3,win,turn_limit_Only War,4
261,-0.08,10,11,0,0,0,draw,turn_limit_Only War,4
262,-0.065,10,11,0,0,0,draw,turn_limit_Only War,4
263,-0.11500000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
264,-0.030000000000000006,10,11,0,1,-1,loss,turn_limit_Only War,4
265,0.024499999999999987,10,11,0,2,-2,loss,turn_limit_Only War,4
266,-0.11000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
267,-0.07,10,11,0,0,0,draw,turn_limit_Only War,4
268,-0.06000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
269,-0.030000000000000006,10,11,0,0,0,draw,turn_limit_Only War,4
270,-0.02,10,11,0,0,0,draw,turn_limit_Only War,4
271,-0.1,10,11,0,0,0,draw,turn_limit_Only War,4
272,-0.14,10,11,0,0,0,draw,turn_limit_Only War,4
273,-0.025,10,11,0,0,0,draw,turn_limit_Only War,4
274,-0.02,10,11,0,0,0,draw,turn_limit_Only War,4
275,-0.10500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
276,-0.10500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
277,-0.082,10,11,0,0,0,draw,turn_limit_Only War,4
278,-0.07,10,11,0,1,-1,loss,turn_limit_Only War,4
279,-0.14,10,11,0,0,0,draw,turn_limit_Only War,4
280,-0.06000000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
281,-0.05750000000000001,10,11,0,2,-2,loss,turn_limit_Only War,4
282,-2.7755575615628915e-18,10,11,0,0,0,draw,turn_limit_Only War,4
283,-0.14500000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
284,-0.02,10,11,0,0,0,draw,turn_limit_Only War,4
285,-0.15,10,11,0,0,0,draw,turn_limit_Only War,4
286,-0.135,10,11,0,0,0,draw,turn_limit_Only War,4
287,-0.21000000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
288,-0.035,10,11,0,0,0,draw,turn_limit_Only War,4
289,0.075,10,11,1,0,1,win,turn_limit_Only War,4
290,-0.14,10,11,0,0,0,draw,turn_limit_Only War,4
291,-0.0985,10,11,0,4,-4,loss,turn_limit_Only War,4
292,-0.215,10,11,0,0,0,draw,turn_limit_Only War,4
293,-0.07,10,11,0,0,0,draw,turn_limit_Only War,4
294,-0.10500000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
295,-0.07,10,11,0,0,0,draw,turn_limit_Only War,4
296,-0.065,10,11,0,0,0,draw,turn_limit_Only War,4
297,0.016000000000000004,10,11,0,2,-2,loss,turn_limit_Only War,4
298,-0.075,10,11,0,0,0,draw,turn_limit_Only War,4
299,-0.075,10,11,0,0,0,draw,turn_limit_Only War,4
300,-0.02,10,11,0,0,0,draw,turn_limit_Only War,4
301,-0.14,10,11,0,0,0,draw,turn_limit_Only War,4
302,-0.11500000000000002,10,11,0,0,0,draw,turn_limit_Only War,4
303,-0.11500000000000002,10,11,0,3,-3,loss,turn_limit_Only War,4
304,0.30500000000000005,10,11,3,0,3,win,turn_limit_Only War,4
305,-0.05600000000000001,10,11,0,0,0,draw,turn_limit_Only War,4
306,0.047,10,11,0,0,0,draw,turn_limit_Only War,4
307,-0.09,10,11,0,0,0,draw,turn_limit_Only War,4
308,-0.075,10,11,0,0,0,draw,turn_limit_Only War,4
309,-0.08,10,11,0,7,-7,loss,turn_limit_Only War,4
310,-0.025,10,11,0,0,0,draw,turn_limit_Only War,4
311,-0.18,10,11,0,0,0,draw,turn_limit_Only War,4
312,-0.14,10,11,0,1,-1,loss,turn_limit_Only War,4
313,-0.1,10,11,0,0,0,draw,turn_limit_Only War,4
314,-0.189,10,11,0,0,0,draw,turn_limit_Only War,4
315,-0.09,10,11,0,0,0,draw,turn_limit_Only War,4
316,-0.07,10,11,0,0,0,draw,turn_limit_Only War,4
317,-0.166,10,11,0,0,0,draw,turn_limit_Only War,4
